直播,#genre#
民視HD,tvbus://8ArqFxRamqNppteeAq3EGzbMv6WrMyU8h65S4FUzKftswSgaof
民視HD,tvbus://7mdqYJYbrXQBQy7iEwzA7LhEazcLH3qPUvLLHfUDvahsdUL1j4
民視HD,tvbus://7XHorpdtn7aifDLdbU1kQyxsDP55W1nsCy8An8dp4Wm2Z5hMfr
民視HD,tvbus://8QZ8b26SBVK4p8SVuVwBmCiiw86DnQQCEDRiJoAGNoRF8HBwCX
民視HD,tvbus://8SjyvnXkj7R2tzWXzuuDhY2wkyD7fbH1SyM8SZDpDJNpYLrRvp
民視HD,tvbus://6ti8KSNRutbNFfTxxHDWeTpope7dYUM4kYaZvhuYJWkQVQPfwN
民視HD,tvbus://6f2wtzyeh1DVX2VJpmuYDM7Gdd3uySMJvECUUAbR9svdJN2qyJPtaT1mDwgWd
民視HD(备:1),tvbus://8Kh9DfxeFuPgHRVkawsGiPggp8QF9dK7Yc5poc3Tp9TcTNAW9U
民視HD(备:1),tvbus://8ieEwUeN8gBZyaXS4zJ6bhJCwm19797X2UEBEmQeFgNMvP5Ca4
民視HD(备:1),tvbus://5bewpnddU6xm4YFnEczdrrkF9Vy5EAQhHVqekEUbw3oBqRRG4g8gQzsjy3ddq
民視HD(备:1),tvbus://5f5kZ3MQH7ZxnWH7X2LM6WoiTE68SazK8FmYw3JyjmD3mfynikyCT8B2T8PrA
民視HD(备:1),tvbus://6XiGGNZ2UyzMtLr2HASgVAMyy5qohnQ2YgHfuR7kB3DS9GYWAnMGz3HjCLrso
人間衛視,tvbus://8k9m3n2WYw9kFd6P9iZz7PcfQWf6t3Bgvd2A5XipFYXyqNpqQC
人間衛視,tvbus://77HZ3JbhhjTaJb46X3Waz5nBE699bJA2pfgfS4GGNRcz4M5uFM
人間衛視,tvbus://5NPFMeYibzrKu89LpBp3BM1Jfp1riGAyC4QCGYnYsf996bqoUubsfKwhfbPzA
人間衛視,tvbus://5SDBbHCNnTiGVYrLD3ZVcGSdV5oRF7r83xyigoCtsuwqiRPHb1QLAazEnmDKv
人間衛視,tvbus://5ka4y4G5obU4UXvy7vzaJqzynghq2iBjK7mus2CxR5hDBZmqkderzvnFAriaT
台視HD,tvbus://7McbnLcjF7iwxccgYdChcBQ8mwBBAuQenX5XNiK4EtkjqQ8237
台視HD,tvbus://7CG3WEPcbk22jAvpzuNh47GyUgYeYYwGW44vpCfD5trmSse5Z7
台視HD,tvbus://8gRxsCApbeEy393bcT4qFRyyJHoC58xBV2Rb59PfGUGsdB8GhB
台視HD,tvbus://8PsznXeXSofTkEXE5HJhj3ntKZZxJvKQieHJMg64FdL7o3Pky1
台視HD,tvbus://85dkces8LggS7xXJAkVAnPdMxSmeUs2LBp1NcVRQTK386hRk65
台視HD,tvbus://7BBfTbeQgkNUrNHBXC71PaRMNTUNEXWQeDsa1vcJDPqcR6imCT
台視HD,tvbus://6YsAYC5WsoZ3FsrnMjc8htWS89ppLEfLSReLyCZXixx8f9hpVNhMcBaHGuw77
台視HD(备:1),tvbus://7KyAGAmq5FHE6xtPyU9AeRia1cNjduW1whP4pZHeHb34wpU2jY
台視HD(备:1),tvbus://739m8FkBYfjcsEXJMdzfrB4KxPrcctgMBE4iD9BVFG6JF5aFqT
台視HD(备:1),tvbus://5zZ8tjVuZfgQjk55N3ZTEKMHLALzX12XcFCcR9PguXsEwtXruZg2KJYHqnSiW
台視HD(备:1),tvbus://5tVqoP5qw9A8zizGojbnyiDru4gb2284PdZ2ocVZ1sE5i8FRai6rb1Zw6c4zD
台視HD(备:1),tvbus://5LCTJoytp2xcf7WjVV6UDPLasYACHbysCtQmAQTBuDxuhz8WGe2vG9oggbbwd
大愛一台,tvbus://82MiJYhVTxkiXXqHEnTHmttFhpNnHA6ny8NySmXmMGaJ2nrmxk
大愛一台,tvbus://6zggFjuTsqGExwwAdxVZZW7rQH4KMXYCCgJhpkrvH7N1BdN9VC
大愛一台,tvbus://6W4yhUdzWPM2Mgy4Mt8KrK7cN6XhWsQKqPbSmZqCecWoP5v1rN4zoRGRuMGF3
大愛一台,tvbus://6a274yZ1acfug7br7BSVrJwGcBAny1NYX3ksh6wUn9L3hdcM28wiEJzV6mP15
大愛一台,tvbus://5RWLYxjzg5DcnRV9y5o7awNhqE9pLkgJcgxU42toaeiUHfX1pWonKRX1NCziU
中視CTV,tvbus://7yEk39yr5u8vkfMRSukqzvVYwGAbQooRoo5iybpZwMETdtCHcq
中視CTV,tvbus://8ZHTCEYY9Zup7d9Kd3pQHfSZH6dzkraiR5Er2JwhtnebjtKWx5
中視CTV,tvbus://7LNn2Ya1acucB14dVXSAYNvBnq5Lfy4vUx3vV3cNdNsEu4NUYr
中視CTV,tvbus://75LKgxGCPMDP3aWRpTocsLBuzfqzLF8tbUnpJoApzYMnRKpho7
中視CTV,tvbus://8HFpbUyUy1SzDzi1krnE61xnmq37kBB63CdRJ3GzCdBRvhrZmt
中視CTV,tvbus://8LYT1jF7VY76PDCBgV1nzA8BuyJbW55Qi3nvP98zonxAYNNjQi
中視CTV,tvbus://5wsZGGjWRb5m6gba5scG8gQQf4JoT34NUFm1wSirxQoHHRiihS7n6sbWMVUVs
中視CTV(备:1),tvbus://7e3weeREHmG3pweb1JSFWsmoDak1sp6UFoxZEH1QjNrPdqG9KT
中視CTV(备:1),tvbus://6ywgCjLW89MRRtfdUWe6m3YxoRUKzA8MAg8HDx8kxE5r9jwyyJ
中視CTV(备:1),tvbus://5o8H8RfPr4bhuCNFfZMEX8tumsWEQkQsRMTwTre4JqnBNPZdxQ2EWNYVyqUNm
中視CTV(备:1),tvbus://5mMvA8C1sFnheNgeurGbgxRUaWQBrXWjSgAgtAsYir3WH5wKZR3QDH5UiGX9y
中視CTV(备:1),tvbus://6N3fbhTkcKZ8Hagr48FYk18E27fR27w8mYUCVBkXLjWfCTCVycYChomKa6xMS
霹靂臺灣臺,tvbus://7awF7fDV3rMyGPZx63WRM4uFE1yu27Nfo3qEmQACm4348ySBam
霹靂臺灣臺,tvbus://83zLVrSVMVzB48MZspNk4yMQDxbjVb4mgTz2YCPNBj8ES2kntq
霹靂臺灣臺,tvbus://5eYdL4Rt6KbrPMNnkeomgNk6HtusZZjzS7cBmERsbreFW4ngRJaaFERv7DoyH
霹靂臺灣臺,tvbus://5sWsLKxuL9AE4qPSVTwFq1yU74xwHd3suV9ipEx8chRBUF1CFVMQjs1C41AqJ
霹靂臺灣臺,tvbus://5RyZ9XKH4u3ET6FncwA91EJJA5sbC6LbroM4zngUd1UtKhWcxTozLW4bj78St
華視CTS HD,tvbus://88EPTNMBS3w4Feas3rLxzfVN87Q4Cbm8gxGAoEiCBjG7p9D6QA
華視CTS HD,tvbus://7XwNWe2uBjqepYDARomHJUiHDx9aqPPVNjdhHjMYUpw2Nr3iq7
華視CTS HD,tvbus://8HmBKdM93wufLG2cPZ1Bzczuz64MNX6mKEEM4jZnJAEkaD3SyH
華視CTS HD,tvbus://7bLnimgQ9yApVQKnJZ7V6Gw3HRmARrQxtQFJXbNAvEgeKe6NoH
華視CTS HD,tvbus://7DhV7SRgo1agfW5u94jg1d7Zp3a9jqmzV6ZGLizuhyL1P6Cc1h
華視CTS HD,tvbus://7XBkQnf637ezhJGmtgdr8XegcyJKEZwzjwnRfamgeRvREA9tft
華視CTS HD,tvbus://6JtgLse93i5Fa5dkfDwm4SgEerKVhWg3z5HzQoVJagmvHnMgGuEUTjzx6hWnu
華視CTS HD(备:1),tvbus://7RnKfQTZ2kj4D2hGcqvw9fgb56EQpAhee8c52KFwvNGiXVof6r
華視CTS HD(备:1),tvbus://71nP9Duo9YDDuhn32rF2FWKwQMZEkNF6NqTKC56GoTCg6AjSk9
華視CTS HD(备:1),tvbus://5v1ZDYU8fGfFszS5wXQBt8gtsZpf6UpR9VxCVKrwxnN6n4SFUtY8wjY5rD9ai
華視CTS HD(备:1),tvbus://5gcAApm5k57f2PKPuLpdq7KCJtvWRNiRVHf1Fk4nUW5fw7K9ndrRjsWxqKwxW
華視CTS HD(备:1),tvbus://5sesbByrivWerqfWi9KuF5dySeJwZHLfDfuE7vysB2GkznbUS21CH1RKb8S1S
公視HD,tvbus://8aMjkZiYNf8n3VXHL8HkxdKt8ZPJcdKvwSkcXVYtvHW77QejTH
公視HD,tvbus://7UEs2spg4qPmsBt4vp9UgpPyBAA8ZkqnoJeyCQxJpBUEieBZcE
公視HD,tvbus://5hqzQWAVCKYHNjpjdHHnx9S6Qjjenc2dE5Ed6TUsju4XhiZdT2gjfv34WWcrp
公視HD,tvbus://5rg2BcPQZDpWQgdLK37BfeMWGkaDvhZ9LWHtDZAvANWYircB1QLcKFLeULTdc
公視HD,tvbus://5vr53T9RHQBxSBEZXwjAzxDjUZoo4JfxibUbVk3zvBJP8Z4QCXDtNweDYLrz8
好消息1,tvbus://7t7cdxazMbKpckKhtf8mZ9KtJDRKRgiebHTc4CYpZ2eS7aqYZh
好消息1,tvbus://8CkSXm2Khie9atL8QwU3NkUiWbRgwsUSFnhbbk7CURhS8FUzYP
好消息1,tvbus://5Wnuny34sVPwg84kMPCJuMrHcj27EJMzSnxvX8QnuWReTCCFiCEFAUVuJfcWo
好消息1,tvbus://5WW4kSG8rqYboUgJPYeyLA4zrWLcS66xuvHJaFAefwq6KJrdv9hvDfHjSbffD
好消息1,tvbus://5Ju6uLX9T19KCojDLGpy1CbkiL6f8fUfpHH8CJ8yjnLhAX76NtqdRfFyPfVXS
八大綜藝,tvbus://7knEMPC9LLfT91HNUD228kEt17DBRUbPj6zQhiWBWjRFLjLSWd
八大綜藝,tvbus://8h6XHKDU1LrYXKvaZvw11apccbkrHhJnAAt66vvSBDVkerDGVA
八大綜藝,tvbus://656LUR9a9byyZnK7uM5YXWuCrfRcMUJLwT18po653WofzxfpkUDJdfYQzoT3F
八大綜藝,tvbus://64FnVWjXZLfkauZCBgxJfy1pa757tEtYoA3LC6A9tttLebacyufFdWuthCQCk
八大綜藝,tvbus://5QHdkZkeaFEsgVdFapBQUPL9v15rffizEoKmjHB9DxaWLnFjuXcQnpaxcBXYn
客家電視,tvbus://8Q3B1AjxrtXU1w1UKM3Kg9NJKaJd8UK6v3R13ciqLynXVeoDvg
客家電視,tvbus://7hHeynYkFVFF9yQwwvi1qV72gz6EwnCW11pgxtcsJw8QxVCi8g
客家電視,tvbus://6i9W2XG934vqFb9xLcd8w25F8V6Wd9eKLw6m7WMEq3WKs8EWt6YdRBgBdp6Jm
客家電視,tvbus://5jTJzLUkPCyGrsz24sP3vxG5cz2R2y3YmKAyBaLNRnewDeJ6W9ULdPVuFZPPs
客家電視,tvbus://5dYmcFW1XugLK9916yPNE81Gybvhz8SZqkQnNAA9DGfMpKets6kFVmRQ2FaAv
BBC Earth,tvbus://8RxAtsoEhgjG8f1je9LHyNPyiGUxvAGQYqfsRfXt3chA6vcDsv
BBC Earth,tvbus://8mZnBwjixKZEb2tzjZEmDJvFXzqnHn7TiDEMsVM5AGg4FPuNhT
